GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,TIME_REMAINING,CLUTCH
Shot Chart Detail,22300076,661,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,28,1,1,20231026,LAL,PHX,71,True
Shot Chart Detail,22300076,664,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,1,20231026,LAL,PHX,41,True
Shot Chart Detail,22300100,704,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,1,20231029,SAC,LAL,12,True
Shot Chart Detail,22300100,770,2544,LeBron James,1610612747,Los Angeles Lakers,5,0,50,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,13,1,1,20231029,SAC,LAL,50,True
Shot Chart Detail,22300100,776,2544,LeBron James,1610612747,Los Angeles Lakers,5,0,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,13,1,1,20231029,SAC,LAL,23,True
Shot Chart Detail,22300111,638,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,2,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,33,274,1,0,20231030,LAL,ORL,62,True
Shot Chart Detail,22300216,645,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,-17,294,1,0,20231119,LAL,HOU,106,True
Shot Chart Detail,22300216,649,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,21,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,29,1,1,20231119,LAL,HOU,81,True
Shot Chart Detail,22300238,614,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,16,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231122,LAL,DAL,76,True
Shot Chart Detail,22300238,617,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,86,239,1,0,20231122,LAL,DAL,34,True
